ID,Breathing,Time,Video,Person,Reaction_time_(ms)
1,Normal,Morning,Yes,Benjamin,225
2,Normal,Evening,Yes,Aditya,208
3,Normal,Evening,No,Isabel,281
4,Normal,Evening,No,Aditya,228
5,Normal,Morning,No,Benjamin,203
6,Hold,Evening,No,Benjamin,191
7,Normal,Morning,Yes,Isabel,283
8,Normal,Evening,Yes,Isabel,320
9,Hold,Evening,No,Isabel,277
10,Normal,Morning,Yes,Isabel,294
11,Hold,Morning,Yes,Isabel,285
12,Normal,Evening,Yes,Benjamin,214
13,Normal,Morning,No,Aditya,285
14,Hold,Evening,No,Benjamin,208
15,Hold,Morning,No,Aditya,258
16,Normal,Morning,Yes,Benjamin,213
17,Hold,Evening,Yes,Benjamin,230
18,Hold,Morning,No,Aditya,301
19,Normal,Evening,No,Aditya,276
20,Hold,Morning,No,Isabel,256
21,Hold,Morning,Yes,Isabel,293
22,Hold,Morning,Yes,Benjamin,259
23,Normal,Morning,Yes,Aditya,261
24,Normal,Morning,No,Benjamin,224
25,Normal,Morning,Yes,Isabel,288
26,Hold,Evening,No,Benjamin,218
27,Hold,Morning,No,Aditya,247
28,Normal,Morning,No,Aditya,273
29,Hold,Morning,Yes,Benjamin,213
30,Normal,Evening,No,Isabel,295
31,Normal,Evening,No,Benjamin,201
32,Normal,Morning,Yes,Aditya,265
33,Hold,Evening,Yes,Aditya,238
34,Normal,Evening,No,Benjamin,195
35,Hold,Morning,Yes,Isabel,281
36,Normal,Evening,No,Aditya,275
37,Hold,Morning,Yes,Aditya,279
38,Hold,Evening,No,Aditya,263
39,Normal,Evening,Yes,Benjamin,194
40,Hold,Morning,Yes,Benjamin,270
41,Hold,Evening,No,Isabel,278
42,Hold,Evening,Yes,Isabel,277
43,Hold,Evening,Yes,Isabel,287
44,Hold,Evening,Yes,Isabel,270
45,Hold,Evening,No,Aditya,286
46,Hold,Morning,No,Benjamin,225
47,Hold,Morning,No,Aditya,283
48,Hold,Evening,Yes,Isabel,323
